,Returns,Volatility,Cluster
MMM,0.12625858619104563,18.194669569787816,2
ABT,0.5544493642077498,15.160306706583714,1
ABBV,0.41546084819392964,12.394728324253283,1
ABMD,0.9717157886998649,65.0905823895675,4
ACN,0.9294054186021959,49.649354169703955,4
ATVI,0.46085858351286996,13.629566669992043,1
AAP,0.3839098943840409,30.909438784020985,0
AES,0.48963280260149744,4.839199061465649,1
AFL,0.08485538371273806,8.24306851925036,2
A,1.11239990234375,29.413552138275527,3
APD,0.392561515352808,29.27770766652176,0
AKAM,0.20501225148895832,9.568453659877486,2
ALK,-0.21495058369415582,14.051249253411834,2
ARE,0.3116989159894195,16.76453629652253,1
ALLE,0.15282416467999907,15.688566577340108,2
LNT,0.05907569870773042,4.037984228540475,2
ALL,0.18885090791977802,15.302102441171773,2
MO,0.025127775301979273,4.56853785017547,2
AMCR,0.27824701171146293,1.1604178021442972,2
AEE,0.09614149932916659,5.125389403520748,2
AAL,-0.35209111172938357,6.002482402873058,2
AEP,-0.11188883146562484,6.090344930157009,2
AXP,0.5664461847523266,28.317115847959524,0
AIG,0.1269376173704436,10.591367832236909,2
AMT,0.2752941722719802,23.221240297488464,0
AWK,0.43708615633204184,18.71057061604759,1
AMP,1.0042436625497952,51.86582101487484,4
ABC,0.4317213139701591,12.855398053064937,1
AME,0.4704892169315364,19.576257176374533,1
AMGN,0.02422928310892759,14.596867211170329,2
APH,0.5602712043987406,10.689323800105731,1
ADI,0.7171478031480015,24.511833327195358,3
ANSS,0.6978150905095116,47.06736573622547,4
ANTM,0.6760569956278796,50.279657097904696,4
AON,0.6714749317724614,33.16618080166152,3
AOS,0.31657508496167175,10.46225749073708,1
APA,0.2148429167409052,6.0718057217239165,2
AAPL,1.4450282990459529,28.897198385412082,3
AMAT,1.4810242534948432,34.36223027022251,3
APTV,0.9098517838788368,34.75776409368388,3
ADM,0.6441785218057843,9.551816090341546,1
ANET,0.6223048141312245,64.47174814655597,4
AJG,0.8081899430677025,22.054850519629447,3
AIZ,0.303893587456493,20.659072262670062,0
T,-0.30798205206678464,3.763941955954682,2
ATO,-0.16795975780203465,7.40307561213656,2
ADSK,1.1536768046245143,51.791381055159064,4
ADP,0.33942423838183605,24.687650909034247,0
AVB,0.057346482514573964,29.38293913403696,0
AVY,0.7224247256229048,40.82546816114084,4
BKR,0.11576359161009199,4.305702820411959,2
BLL,0.2305710250909311,10.738412149464045,2
BAC,0.5157844044085056,7.177336281135652,1
BAX,0.030601898241167973,4.409869979073068,2
BDX,0.005449416957870227,13.402711238334794,2
BBY,0.6686077614381937,17.79779949852327,1
BIIB,-0.053451377083314884,31.757917783009805,0
BK,0.28208730876232996,6.960539919889488,1
BA,-0.38344445906871205,63.62204601627446,0
BWA,0.1544529214417927,7.14209335857429,2
BXP,-0.11248766570605187,19.28170473590103,2
BSX,0.102491334125882,3.932297814399115,2
BMY,0.06547731181218176,3.7290942671052902,2
BR,0.4741945724298454,21.228314054251417,1
BRO,0.8148751447726273,6.632359427569697,1
CHRW,0.12271900203900077,10.540787248865138,2
CDNS,1.5805808983111487,30.81668356319148,3
CZR,1.5336115001629826,28.604166112304174,3
CPB,-0.14464743220972084,2.695401615313585,2
COF,0.8220808339214912,38.080849409157345,3
CAH,-0.013785421161705476,4.040897369973357,2
KMX,0.47997255920540705,21.47695618554884,1
CCL,-0.5015102811735921,10.752898033363728,2
CARR,0.0,12.208952780482951,2
CAT,0.5127380388085079,40.94553612514587,0
CBOE,0.13445644354148972,14.034606804978917,2
CBRE,0.9923736602467021,19.067772146940342,3
CDW,0.5416633613108459,29.25200027212083,0
CE,0.3863342790398006,27.867432714924576,0
CNC,0.43366926798488853,5.059184229921635,1
CNP,-0.11356098323569566,3.562155430421433,2
CERN,0.0602399912535574,4.531241766591893,2
CF,0.30393664666390574,9.478712908324567,1
SCHW,1.0234203231315546,15.240260731423241,3
CVX,-0.03452972550401825,13.878376092407166,2
CB,0.2416622912417456,22.79963880404652,0
CHD,0.10877884968672649,8.288382111071334,2
CI,0.27153019972769016,25.906728011357853,0
CINF,0.06775401592291154,19.589276755475485,2
CTAS,0.5736212209788017,58.27621884753857,4
CSCO,0.18692090639048511,5.702549912630845,2
C,-0.019986163676781295,12.609195131834118,2
CFG,0.4118886460119796,9.383141803369789,1
CTXS,-0.08360392305362105,14.991027716383156,2
CLX,0.07223401291086311,23.240091060968183,0
CME,0.07006152764164375,18.54298474278727,2
CMS,-0.06110470560242626,3.237948917625235,2
KO,-0.006504334686348204,4.066830003617361,2
CTSH,0.3019335806403762,9.337453187857227,1
CL,0.09942941414195565,5.613427159564429,2
CMCSA,0.20662353608653408,7.206655342080484,2
CMA,0.3688524145274235,16.361575651941788,1
CAG,0.21982273838372562,3.0720211671102855,2
COP,0.36137824143134833,11.47486607220182,1
ED,-0.1951426593193389,6.8279743763525085,2
STZ,0.1120290985235691,26.66647710784343,0
COO,0.4675296834502911,48.37462659759707,4
CPRT,0.8168498109058606,22.098833037276812,3
GLW,0.3019469169333369,7.126052030855906,1
CTVA,0.6200227478621895,8.41471207646871,1
COST,0.6488867478811318,50.30090176127825,4
CTRA,0.21478875131272296,1.716655036288281,2
CCI,0.25742709758808635,18.155569285557675,1
CSX,0.49619024021493047,4.3935294396974856,1
CMI,0.38066474848177523,38.34498362733534,0
CVS,0.34916730872504415,9.18088626716278,1
DHI,0.6344016158260611,17.559715291247723,1
DHR,1.2574024808616502,54.73710972895681,4
DRI,0.30518060816796416,28.99346378431407,0
DVA,0.9726098818468973,20.13592899047486,3
DAL,-0.2654768981398546,10.77264688567775,2
XRAY,0.08355307847783523,8.773978503463356,2
DVN,0.8781454811122705,8.132629920425606,1
FANG,0.26359104902019653,23.3426968208302,0
DLR,0.16691467639897592,12.54680852783405,2
DFS,0.55543017434229,29.189303388694388,0
DISCA,-0.07861295728231779,10.12909728094246,2
DISCK,-0.04352075105162877,8.257558286705098,2
DISH,0.27877002101602083,6.429787985133594,1
DG,0.36749365661122074,24.63433701648764,0
DLTR,-0.0917820134117631,10.993774012020124,2
D,-0.07313833368565788,4.319669036330309,2
DPZ,0.7778072611226791,66.40545710897504,4
