Date,AMD,ADBE,ALGN,AMZN
2020-10-21,79.19999694824219,495.9599914550781,335.80999755859375,3184.93994140625
2020-10-22,79.41999816894531,483.6000061035156,453.2300109863281,3176.39990234375
2020-10-23,81.95999908447266,488.5,469.55999755859375,3204.39990234375
2020-10-26,82.2300033569336,475.20001220703125,454.510009765625,3207.0400390625
2020-10-27,78.87999725341797,478.55999755859375,455.0899963378906,3286.330078125
2020-10-28,76.4000015258789,456.9700012207031,439.510009765625,3162.780029296875
2020-10-29,78.0199966430664,461.1099853515625,436.57000732421875,3211.010009765625
2020-10-30,75.29000091552734,447.1000061035156,426.0799865722656,3036.14990234375
2020-11-02,74.69999694824219,444.94000244140625,458.44000244140625,3004.47998046875
2020-11-03,76.58000183105469,454.0199890136719,465.010009765625,3048.409912109375
2020-11-04,81.3499984741211,487.2300109863281,483.4599914550781,3241.159912109375
2020-11-05,83.0,496.4700012207031,491.9100036621094,3322.0
2020-11-06,85.87999725341797,494.6300048828125,477.8500061035156,3311.3701171875
2020-11-09,83.12000274658203,471.1400146484375,476.989990234375,3143.739990234375
2020-11-10,77.98999786376953,452.0,464.32000732421875,3035.02001953125
2020-11-11,81.27999877929688,467.75,461.7799987792969,3137.389892578125
2020-11-12,81.83999633789062,462.5799865722656,452.760009765625,3110.280029296875
2020-11-13,81.43000030517578,469.3399963378906,457.260009765625,3128.81005859375
2020-11-16,83.7300033569336,460.95001220703125,457.1700134277344,3131.06005859375
2020-11-17,83.36000061035156,467.95001220703125,451.3800048828125,3135.659912109375
2020-11-18,82.54000091552734,459.4700012207031,444.6099853515625,3105.4599609375
2020-11-19,85.54000091552734,466.4100036621094,441.3500061035156,3117.02001953125
2020-11-20,84.63999938964844,462.9200134277344,446.45001220703125,3099.39990234375
2020-11-23,85.30999755859375,460.6099853515625,476.5799865722656,3098.389892578125
2020-11-24,85.06999969482422,462.70001220703125,475.1000061035156,3118.06005859375
2020-11-25,86.70999908447266,470.0799865722656,473.69000244140625,3185.070068359375
2020-11-27,87.19000244140625,477.0299987792969,475.5,3195.340087890625
2020-11-30,92.66000366210938,478.4700012207031,481.2900085449219,3168.0400390625
2020-12-01,92.62999725341797,479.1499938964844,500.1000061035156,3220.080078125
2020-12-02,93.73999786376953,481.260009765625,505.4800109863281,3203.530029296875
2020-12-03,92.30999755859375,484.2799987792969,511.0,3186.72998046875
2020-12-04,94.04000091552734,486.0,521.719970703125,3162.580078125
2020-12-07,94.06999969482422,492.25,517.7100219726562,3158.0
2020-12-08,92.91999816894531,495.2799987792969,515.760009765625,3177.2900390625
2020-12-09,89.83000183105469,483.739990234375,509.010009765625,3104.199951171875
2020-12-10,91.66000366210938,476.8699951171875,508.3900146484375,3101.489990234375
2020-12-11,91.6500015258789,475.9100036621094,507.0799865722656,3116.419921875
2020-12-14,94.77999877929688,486.4200134277344,504.30999755859375,3156.969970703125
2020-12-15,97.12000274658203,482.6400146484375,516.2999877929688,3165.1201171875
2020-12-16,96.8499984741211,489.8999938964844,516.3400268554688,3240.9599609375
2020-12-17,96.83999633789062,495.3599853515625,526.719970703125,3236.080078125
2020-12-18,95.91999816894531,502.95001220703125,529.9199829101562,3201.64990234375
2020-12-21,93.2300033569336,498.3900146484375,530.7100219726562,3206.179931640625
2020-12-22,93.16000366210938,504.1700134277344,536.5900268554688,3206.52001953125
2020-12-23,91.55000305175781,496.9100036621094,525.0,3185.27001953125
2020-12-24,91.80999755859375,499.8599853515625,528.030029296875,3172.68994140625
2020-12-28,91.5999984741211,498.95001220703125,520.8599853515625,3283.9599609375
2020-12-29,90.62000274658203,502.1099853515625,520.4500122070312,3322.0
2020-12-30,92.29000091552734,497.45001220703125,524.3200073242188,3285.85009765625
2020-12-31,91.70999908447266,500.1199951171875,534.3800048828125,3256.929931640625
2021-01-04,92.30000305175781,485.3399963378906,526.4600219726562,3186.6298828125
2021-01-05,92.7699966430664,485.69000244140625,543.6500244140625,3218.510009765625
2021-01-06,90.33000183105469,466.30999755859375,540.3900146484375,3138.3798828125
2021-01-07,95.16000366210938,477.739990234375,558.3599853515625,3162.159912109375
2021-01-08,94.58000183105469,485.1000061035156,570.530029296875,3182.699951171875
2021-01-11,97.25,474.239990234375,557.0399780273438,3114.2099609375
2021-01-12,95.36000061035156,471.6499938964844,552.8800048828125,3120.830078125
2021-01-13,91.77999877929688,472.04998779296875,551.1400146484375,3165.889892578125
2021-01-14,90.79000091552734,463.2699890136719,554.6400146484375,3127.469970703125
2021-01-15,88.20999908447266,458.0799865722656,567.22998046875,3104.25
2021-01-19,89.44999694824219,456.5,557.4099731445312,3120.760009765625
2021-01-20,88.75,469.7300109863281,564.3699951171875,3263.3798828125
2021-01-21,91.52999877929688,472.0199890136719,543.8099975585938,3306.989990234375
2021-01-22,92.79000091552734,472.44000244140625,534.0800170898438,3292.22998046875
2021-01-25,94.12999725341797,473.44000244140625,539.469970703125,3294.0
2021-01-26,94.70999908447266,476.2799987792969,535.0999755859375,3326.1298828125
2021-01-27,88.83999633789062,460.0,509.6400146484375,3232.580078125
2021-01-28,87.5199966430664,465.6700134277344,536.5800170898438,3237.6201171875
2021-01-29,85.63999938964844,458.7699890136719,525.3800048828125,3206.199951171875
2021-02-01,87.66000366210938,470.0,543.0499877929688,3342.8798828125
2021-02-02,88.86000061035156,484.92999267578125,557.77001953125,3380.0
2021-02-03,87.88999938964844,481.9200134277344,546.1799926757812,3312.530029296875
2021-02-04,87.83999633789062,489.3800048828125,615.1599731445312,3331.0
