Company,Symbol,Movement,Cluster
DAL,Delta Air Lines,253.09002685546875,2
XRAY,Dentsply Sirona,-11.059953689575195,0
DVN,Devon Energy,-6.619987487792969,3
DXCM,DexCom,-3.5799789428710938,0
FANG,Diamondback Energy,-4.005001068115234,4
DLR,Digital Realty Trust,-6.234983444213867,4
DFS,Discover Financial Services,-12.16502571105957,4
DISCA,Discovery (Series A),31.509872436523438,1
DISCK,Discovery (Series C),-10.569999694824219,4
DISH,Dish Network,-0.750152587890625,3
DG,Dollar General,126.38455200195312,1
DLTR,Dollar Tree,1.8293838500976562,4
D,Dominion Energy,-14.789974212646484,0
DPZ,Domino's Pizza,-3.806915283203125,4
DOV,Dover Corporation,9.07000732421875,3
DOW,Dow,14.675092697143555,3
DD,DuPont,-16.949954986572266,0
DUK,Duke Energy,-10.3700590133667,0
DRE,Duke Realty Corp,-4.4400177001953125,0
EOG,EOG Resources,22.529979705810547,4
EMN,Eastman Chemical,33.22501564025879,1
ETN,Eaton Corporation,-69.77009582519531,4
ECL,Ecolab,-7.049991607666016,3
EIX,Edison International,4.713298797607422,1
EW,Edwards Lifesciences,15.840003967285156,2
EA,Electronic Arts,-5.183692932128906,0
LLY,Eli Lilly & Co,19.340164184570312,2
EMR,Emerson Electric Company,-21.639976501464844,3
ENPH,Enphase Energy,3.5897083282470703,0
ETR,Entergy,66.16983032226562,1
EFX,Equifax,-26.138885498046875,1
EQIX,Equinix,-9.879951477050781,4
EQR,Equity Residential,-39.47027587890625,4
ESS,Essex Property Trust,46.04481506347656,1
EL,Estée Lauder Companies,96.54765319824219,2
ETSY,Etsy,-2.7100143432617188,3
RE,Everest Re,-0.8449821472167969,3
EVRG,Evergy,7.2554779052734375,4
ES,Eversource Energy,9.560073852539062,3
EXC,Exelon,-42.630062103271484,0
EXPE,Expedia Group,17.839969635009766,1
EXPD,Expeditors,37.809974670410156,3
EXR,Extra Space Storage,-27.629959106445312,0
XOM,ExxonMobil,17.269981384277344,2
FFIV,F5 Networks,73.68009948730469,2
FMC,FMC Corporation,17.26999855041504,1
FB,Facebook,-50.820068359375,0
FAST,Fastenal,-71.0703353881836,0
FDX,FedEx,-25.120033264160156,1
FRT,Federal Realty Investment Trust,-0.30497264862060547,0
FIS,Fidelity National Information Services,-3.0400619506835938,3
FITB,Fifth Third Bancorp,50.809898376464844,4
FRC,First Republic Bank,-36.301902770996094,1
FE,FirstEnergy,-76.2799072265625,4
FISV,Fiserv,-25.230064392089844,4
FLT,Fleetcor,-5.635014057159424,0
F,Ford,124.9997787475586,2
FTNT,Fortinet,-14.906558990478516,4
FTV,Fortive,-6.570095062255859,4
FBHS,Fortune Brands Home & Security,-4.521028518676758,4
FOXA,Fox Corporation (Class A),-0.9559745788574219,4
FOX,Fox Corporation (Class B),-9.305035591125488,4
BEN,Franklin Resources,9.455008029937744,0
FCX,Freeport-McMoRan,-7.819987773895264,0
GPS,Gap,-6.590122222900391,1
GRMN,Garmin,69.91000366210938,4
IT,Gartner,113.08983612060547,2
GNRC,Generac Holdings,-14.689888000488281,4
GD,General Dynamics,-36.339962005615234,0
GE,General Electric,14.180038452148438,3
GIS,General Mills,-22.545005798339844,0
GM,General Motors,1.4950141906738281,4
GPC,Genuine Parts,-22.834911346435547,3
GILD,Gilead Sciences,-16.884986877441406,4
GPN,Global Payments,-93.73503112792969,4
GL,Globe Life,72.89016723632812,0
GS,Goldman Sachs,-3.3552398681640625,4
HCA,HCA Healthcare,-3.755004405975342,0
HPQ,HP,-7.9949846267700195,0
HAL,Halliburton,7.670070648193359,0
HBI,Hanesbrands,-52.359920501708984,4
HAS,Hasbro,37.63975524902344,0
PEAK,Healthpeak Properties,-1.5599555969238281,4
HSIC,Henry Schein,-6.499980926513672,4
HES,Hess Corporation,-6.1248931884765625,3
