Date,AMD,ADBE,ALGN,AMZN,AMGN,AEP,ADI,ANSS,AAPL,AMAT,ASML,TEAM,ADSK,ATVI,ADP,AVGO,BIDU,BIIB,BMRN,BKNG,CDNS,CDW,CERN,CHKP,CHTR,CPRT,CRWD,CTAS,CSCO,CMCSA,COST,CSX,CTSH,DOCU,DXCM,DLTR,EA,EBAY,EXC,FAST,FB,FISV,FOX,FOXA,GILD,GOOG,GOOGL,HON,ILMN,INCY,INTC,INTU,ISRG,MRVL,IDXX,JD,KDP,KLAC,KHC,LRCX,LULU,MELI,MAR,MTCH,MCHP,MDLZ,MRNA,MNST,MSFT,MU,NFLX,NTES,NVDA,NXPI,OKTA,ORLY,PAYX,PCAR,PDD,PTON,PYPL,PEP,QCOM,REGN,ROST,SIRI,SGEN,SPLK,SWKS,SBUX,SNPS,TCOM,TSLA,TXN,TMUS,VRSN,VRSK,VRTX,WBA,WDAY,XEL,XLNX,ZM
2019-10-24,31.719999313354492,269.70001220703125,249.47000122070312,1780.780029296875,203.05999755859375,95.72000122070312,105.31999969482422,221.52000427246094,60.89500045776367,55.06999969482422,264.9700012207031,113.26000213623047,145.3699951171875,55.439998626708984,162.5399932861328,282.30999755859375,103.69000244140625,285.67999267578125,69.44999694824219,2043.75,65.08999633789062,124.44999694824219,67.4800033569336,108.5,435.07000732421875,84.62999725341797,51.84000015258789,272.3399963378906,46.40999984741211,44.84000015258789,297.04998779296875,23.886667251586914,60.5099983215332,64.91000366210938,146.97000122070312,115.5999984741211,95.9800033569336,35.619998931884766,46.18000030517578,37.18000030517578,186.3800048828125,103.44999694824219,31.600000381469727,32.29999923706055,66.0,1260.989990234375,1259.1099853515625,171.4600067138672,315.5,77.5,52.22999954223633,258.8999938964844,182.64999389648438,24.399999618530273,268.3299865722656,30.719999313354492,27.709999084472656,168.74000549316406,28.450000762939453,265.6000061035156,206.83999633789062,551.6199951171875,124.30000305175781,73.86000061035156,47.084999084472656,53.040000915527344,16.59000015258789,56.61000061035156,139.94000244140625,47.099998474121094,271.5,56.57600021362305,49.21500015258789,106.06999969482422,108.0,437.29998779296875,84.69999694824219,75.30000305175781,39.959999084472656,21.34000015258789,104.91000366210938,137.88999938964844,78.98999786376953,305.7699890136719,110.44000244140625,6.460000038146973,100.2699966430664,119.69000244140625,89.69000244140625,83.18000030517578,137.72000122070312,30.600000381469727,59.93600082397461,118.41000366210938,81.4800033569336,185.72999572753906,149.75,194.47000122070312,54.45000076293945,158.58999633789062,64.54000091552734,93.12000274658203,64.5199966430664
2019-10-25,32.709999084472656,270.9800109863281,243.3800048828125,1761.3299560546875,203.0500030517578,94.3499984741211,106.83000183105469,220.25,61.64500045776367,55.720001220703125,263.989990234375,113.81999969482422,145.5399932861328,55.2599983215332,161.9600067138672,289.82000732421875,103.87000274658203,288.0400085449219,71.19000244140625,2055.929931640625,65.0999984741211,124.86000061035156,66.43000030517578,108.31999969482422,462.19000244140625,83.94000244140625,50.11000061035156,270.3399963378906,46.900001525878906,45.650001525878906,296.5,24.106666564941406,60.459999084472656,65.4000015258789,147.38999938964844,114.55000305175781,96.30999755859375,35.84000015258789,45.88999938964844,37.18000030517578,187.88999938964844,102.51000213623047,31.700000762939453,32.40999984741211,63.31999969482422,1265.1300048828125,1264.300048828125,171.6300048828125,290.6400146484375,77.55000305175781,56.459999084472656,257.6700134277344,183.08999633789062,24.75,268.2900085449219,31.15999984741211,27.510000228881836,169.94000244140625,28.3799991607666,270.04998779296875,208.0,549.8099975585938,126.18000030517578,73.94000244140625,46.95000076293945,52.77000045776367,17.010000228881836,56.349998474121094,140.72999572753906,48.029998779296875,276.82000732421875,56.231998443603516,51.1349983215332,105.86000061035156,107.98999786376953,438.5400085449219,84.52999877929688,76.9000015258789,40.84000015258789,22.399999618530273,107.19000244140625,136.63999938964844,80.16999816894531,306.2099914550781,110.69000244140625,6.440000057220459,102.62000274658203,119.58000183105469,90.05999755859375,83.37999725341797,137.13999938964844,30.81999969482422,65.6259994506836,120.51000213623047,81.62000274658203,190.16000366210938,148.9199981689453,194.49000549316406,55.41999816894531,160.75,63.63999938964844,94.9000015258789,63.45000076293945
2019-10-28,33.689998626708984,271.3500061035156,250.4199981689453,1777.0799560546875,205.00999450683594,93.37000274658203,108.83000183105469,223.6300048828125,62.26250076293945,56.95000076293945,266.510009765625,118.33000183105469,146.99000549316406,54.560001373291016,162.47999572753906,291.54998779296875,104.86000061035156,295.5400085449219,72.1500015258789,2057.050048828125,65.87999725341797,125.98999786376953,67.0,109.0199966430664,467.0899963378906,83.9800033569336,47.95000076293945,271.7900085449219,47.16999816894531,45.439998626708984,298.94000244140625,23.84000015258789,60.66999816894531,66.37000274658203,151.6300048828125,113.41999816894531,96.72000122070312,35.939998626708984,45.599998474121094,36.83000183105469,189.39999389648438,102.45999908447266,32.209999084472656,32.9900016784668,63.72999954223633,1290.0,1288.97998046875,172.67999267578125,304.05999755859375,79.86000061035156,56.7599983215332,258.6099853515625,186.21665954589844,25.149999618530273,266.4200134277344,31.729999542236328,27.649999618530273,174.77999877929688,28.3700008392334,281.25,205.97000122070312,540.030029296875,126.5999984741211,73.8499984741211,47.79499816894531,52.40999984741211,17.030000686645508,55.970001220703125,144.19000244140625,48.689998626708984,281.8599853515625,56.73400115966797,51.6974983215332,108.6500015258789,107.25,442.19000244140625,84.41999816894531,77.51000213623047,42.58000183105469,21.459999084472656,106.5999984741211,136.57000732421875,83.05000305175781,308.55999755859375,109.38999938964844,6.460000038146973,105.7699966430664,120.0,91.66000366210938,83.5999984741211,137.2899932861328,31.3799991607666,65.54199981689453,120.0,82.38999938964844,190.9199981689453,148.5500030517578,194.02000427246094,55.79999923706055,159.39999389648438,62.439998626708984,94.75,66.55999755859375
2019-10-29,33.029998779296875,271.45001220703125,256.1199951171875,1762.7099609375,208.99000549316406,93.16999816894531,108.05000305175781,222.3000030517578,60.8224983215332,55.52000045776367,264.6000061035156,119.73999786376953,145.58999633789062,54.0,162.8300018310547,288.1600036621094,102.9000015258789,297.5,74.2699966430664,2042.800048828125,65.97000122070312,126.18000030517578,67.36000061035156,113.11000061035156,464.07000732421875,84.68000030517578,47.79999923706055,274.5199890136719,47.2400016784668,45.349998474121094,295.8599853515625,23.610000610351562,60.45000076293945,66.38999938964844,154.83999633789062,112.58000183105469,94.41000366210938,36.11000061035156,45.86000061035156,36.72999954223633,189.30999755859375,105.3499984741211,32.04999923706055,32.84000015258789,63.45000076293945,1262.6199951171875,1260.6600341796875,173.16000366210938,301.7900085449219,83.3499984741211,56.34000015258789,258.489990234375,185.38999938964844,24.709999084472656,270.8699951171875,31.780000686645508,27.639999389648438,170.27999877929688,28.139999389648438,276.489990234375,205.5800018310547,542.010009765625,126.52999877929688,72.79000091552734,47.404998779296875,52.83000183105469,16.989999771118164,56.150001525878906,142.8300018310547,48.11000061035156,281.2099914550781,56.6619987487793,50.72999954223633,114.41000366210938,107.45999908447266,434.3500061035156,84.55000305175781,77.31999969482422,40.5,23.18000030517578,105.0,136.0800018310547,81.66000366210938,310.4599914550781,108.81999969482422,6.369999885559082,105.2300033569336,119.23999786376953,91.20999908447266,84.12999725341797,136.67999267578125,31.540000915527344,63.24399948120117,120.29000091552734,81.7699966430664,189.4499969482422,150.1199951171875,197.88999938964844,56.27000045776367,158.11000061035156,62.58000183105469,92.33000183105469,65.48999786376953
2019-10-30,33.130001068115234,278.4100036621094,252.7100067138672,1779.989990234375,210.8800048828125,94.0999984741211,108.25,225.19000244140625,60.814998626708984,55.209999084472656,265.6499938964844,124.81999969482422,148.77999877929688,55.869998931884766,164.14999389648438,290.239990234375,102.93000030517578,299.8900146484375,73.52999877929688,2049.550048828125,66.94000244140625,127.37999725341797,68.0999984741211,112.1500015258789,468.7799987792969,84.0,51.44499969482422,276.260009765625,47.560001373291016,44.689998626708984,299.8399963378906,23.683332443237305,59.88999938964844,66.7699966430664,155.74000549316406,112.05999755859375,96.72000122070312,35.86000061035156,46.65999984741211,36.290000915527344,188.25,106.30000305175781,31.360000610351562,32.08000183105469,63.150001525878906,1261.2900390625,1260.699951171875,174.60000610351562,296.510009765625,83.66000366210938,56.599998474121094,260.2900085449219,185.44000244140625,24.399999618530273,273.8500061035156,31.690000534057617,27.899999618530273,172.9600067138672,28.5,277.55999755859375,205.85000610351562,551.0499877929688,126.44000244140625,73.7300033569336,47.70000076293945,52.029998779296875,17.139999389648438,56.150001525878906,144.61000061035156,47.880001068115234,291.45001220703125,57.22800064086914,50.75,114.80999755859375,112.30999755859375,436.69000244140625,84.6500015258789,76.47000122070312,40.880001068115234,23.719999313354492,106.5,136.89999389648438,81.44000244140625,311.0,110.31999969482422,6.46999979019165,104.5999984741211,120.47000122070312,90.97000122070312,84.19000244140625,137.61000061035156,32.31999969482422,63.00199890136719,117.79000091552734,83.2699966430664,191.7100067138672,147.9199981689453,199.27999877929688,55.86000061035156,164.10000610351562,63.31999969482422,91.26000213623047,70.0
2019-10-31,33.93000030517578,277.92999267578125,252.2899932861328,1776.6600341796875,213.25,94.38999938964844,106.62999725341797,220.14999389648438,62.189998626708984,54.2599983215332,261.9700012207031,120.79000091552734,147.36000061035156,56.029998779296875,162.22999572753906,292.8500061035156,101.8499984741211,298.7099914550781,73.20999908447266,2048.77001953125,65.3499984741211,127.91000366210938,67.12000274658203,112.41000366210938,467.8599853515625,82.63999938964844,49.90999984741211,268.6700134277344,47.5099983215332,44.81999969482422,297.1099853515625,23.42333221435547,60.939998626708984,66.19000244140625,154.24000549316406,110.4000015258789,96.4000015258789,35.25,45.4900016784668,35.939998626708984,191.64999389648438,106.13999938964844,31.239999771118164,32.040000915527344,63.709999084472656,1260.1099853515625,1258.800048828125,172.72999572753906,295.5199890136719,83.91999816894531,56.529998779296875,257.5,184.31666564941406,24.389999389648438,285.010009765625,31.149999618530273,28.15999984741211,169.0399932861328,32.33000183105469,271.0400085449219,204.27000427246094,521.52001953125,126.55000305175781,72.98999786376953,47.14500045776367,52.45000076293945,16.75,56.130001068115234,143.3699951171875,47.54999923706055,287.4100036621094,57.172000885009766,50.255001068115234,113.68000030517578,109.06999969482422,435.510009765625,83.63999938964844,76.05999755859375,40.880001068115234,23.8700008392334,104.0999984741211,137.1699981689453,80.44000244140625,306.2799987792969,109.66999816894531,6.71999979019165,107.4000015258789,119.95999908447266,91.05999755859375,84.55999755859375,135.75,32.9900016784668,62.98400115966797,117.98999786376953,82.66000366210938,190.02000427246094,144.6999969482422,195.47999572753906,54.779998779296875,162.16000366210938,63.5099983215332,90.73999786376953,69.88999938964844
2019-11-01,34.88999938964844,277.82000732421875,257.0400085449219,1791.43994140625,217.9499969482422,93.55999755859375,109.37000274658203,220.0,63.95500183105469,55.459999084472656,270.6000061035156,122.36000061035156,150.25,55.81999969482422,162.97999572753906,296.5899963378906,104.63999938964844,299.20001220703125,73.62999725341797,2032.02001953125,65.4800033569336,131.1999969482422,67.52999877929688,112.12000274658203,476.4800109863281,82.91000366210938,48.5,268.8900146484375,47.029998779296875,44.75,296.0899963378906,24.09000015258789,61.22999954223633,66.87999725341797,157.3000030517578,111.73999786376953,95.30000305175781,35.25,45.34000015258789,37.150001525878906,193.6199951171875,106.8499984741211,31.860000610351562,32.38999938964844,64.66000366210938,1273.739990234375,1272.25,176.1199951171875,300.45001220703125,83.58000183105469,56.5099983215332,256.4800109863281,186.4566650390625,25.139999389648438,276.8699951171875,31.489999771118164,28.209999084472656,172.4199981689453,32.61000061035156,278.260009765625,200.69000244140625,490.0,128.0800018310547,73.0,48.494998931884766,52.029998779296875,15.65999984741211,56.25,143.72000122070312,48.380001068115234,286.80999755859375,57.90800094604492,50.647499084472656,118.0,111.06999969482422,437.010009765625,83.88999938964844,78.05000305175781,41.4900016784668,24.989999771118164,104.9800033569336,136.92999267578125,83.58000183105469,310.4800109863281,110.98999786376953,6.820000171661377,106.44999694824219,123.11000061035156,98.30000305175781,83.20999908447266,136.10000610351562,33.790000915527344,62.6619987487793,118.04000091552734,82.47000122070312,188.07000732421875,145.36000061035156,200.94000244140625,57.380001068115234,165.3300018310547,63.099998474121094,92.70999908447266,70.38999938964844
2019-11-04,36.290000915527344,277.5,258.7699890136719,1804.6600341796875,214.41000366210938,92.80000305175781,111.38999938964844,217.47000122070312,64.375,55.7400016784668,273.17999267578125,118.37000274658203,151.27000427246094,55.709999084472656,161.8800048828125,305.0,109.62000274658203,293.42999267578125,73.52999877929688,2007.6800537109375,66.87999725341797,131.8000030517578,67.45999908447266,111.55000305175781,473.5,82.13999938964844,49.650001525878906,269.7200012207031,47.47999954223633,43.88999938964844,296.82000732421875,24.496667861938477,62.06999969482422,68.44999694824219,158.5399932861328,112.20999908447266,98.1500015258789,35.40999984741211,44.5,37.29999923706055,194.72000122070312,105.29000091552734,31.899999618530273,32.54999923706055,65.20999908447266,1291.3699951171875,1289.6099853515625,180.0,303.67999267578125,84.43000030517578,57.61000061035156,254.05999755859375,186.95333862304688,26.799999237060547,278.6600036621094,33.119998931884766,27.8700008392334,174.02000427246094,33.33000183105469,278.1000061035156,196.47999572753906,485.7900085449219,130.16000366210938,71.20999908447266,49.88999938964844,51.7400016784668,16.799999237060547,56.09000015258789,144.5500030517578,49.59000015258789,292.8599853515625,61.54399871826172,52.625,117.87999725341797,107.2699966430664,436.489990234375,83.45999908447266,79.30000305175781,42.529998779296875,24.610000610351562,102.80999755859375,135.16000366210938,85.08999633789062,311.0400085449219,111.7699966430664,6.769999980926514,106.48999786376953,121.02999877929688,98.4800033569336,82.37000274658203,135.77000427246094,34.93000030517578,63.49399948120117,120.97000122070312,80.91999816894531,186.60000610351562,140.3000030517578,199.4199981689453,59.650001525878906,165.19000244140625,61.650001525878906,96.63999938964844,70.12000274658203
2019-11-05,36.150001525878906,289.2900085449219,257.9100036621094,1801.7099609375,215.0800018310547,91.4000015258789,113.44999694824219,217.9600067138672,64.28250122070312,55.880001068115234,271.79998779296875,114.19000244140625,151.72999572753906,55.540000915527344,157.00999450683594,314.0400085449219,108.05000305175781,292.17999267578125,74.6500015258789,2025.4300537109375,67.19999694824219,135.80999755859375,67.20999908447266,113.38999938964844,473.25,82.25,48.70000076293945,266.989990234375,47.7599983215332,44.279998779296875,299.17999267578125,24.626667022705078,61.91999816894531,66.0,153.55999755859375,113.27999877929688,98.26000213623047,35.47999954223633,44.779998779296875,37.279998779296875,194.32000732421875,104.0,32.150001525878906,32.834999084472656,65.38999938964844,1292.030029296875,1291.43994140625,180.67999267578125,300.8699951171875,84.12999725341797,57.54999923706055,253.16000366210938,187.7899932861328,27.040000915527344,264.1499938964844,32.97999954223633,28.030000686645508,171.97999572753906,32.90999984741211,277.95001220703125,194.33999633789062,485.05999755859375,133.69000244140625,68.7699966430664,50.0099983215332,51.70000076293945,16.889999389648438,56.470001220703125,144.4600067138672,48.68000030517578,288.0299987792969,58.80799865722656,52.40250015258789,118.66000366210938,106.80000305175781,433.7200012207031,82.58999633789062,79.66999816894531,43.529998779296875,22.739999771118164,100.98999786376953,134.00999450683594,85.45999908447266,332.6000061035156,112.05999755859375,6.829999923706055,106.31999969482422,123.37000274658203,98.72000122070312,81.88999938964844,135.6300048828125,35.75,63.444000244140625,119.86000061035156,81.47000122070312,186.55999755859375,138.77999877929688,197.13999938964844,61.209999084472656,161.3800048828125,60.540000915527344,95.4000015258789,66.88999938964844
2019-11-06,35.93000030517578,287.3999938964844,256.1600036621094,1795.77001953125,216.39999389648438,91.9800033569336,112.02999877929688,218.72999572753906,64.30999755859375,55.81999969482422,268.739990234375,115.25,151.50999450683594,56.36000061035156,159.66000366210938,313.1600036621094,107.36000061035156,289.0,74.83999633789062,2012.0899658203125,67.13999938964844,132.9600067138672,66.97000122070312,113.73999786376953,469.0299987792969,81.86000061035156,47.83000183105469,264.95001220703125,48.27000045776367,44.220001220703125,301.57000732421875,24.546667098999023,62.2599983215332,66.08000183105469,153.1199951171875,112.79000091552734,98.66999816894531,35.5,44.81999969482422,37.150001525878906,191.5500030517578,104.91000366210938,32.33000183105469,33.099998474121094,65.41000366210938,1291.800048828125,1291.010009765625,180.80999755859375,297.25,83.68000030517578,57.599998474121094,253.4199981689453,184.72000122070312,26.65999984741211,261.45001220703125,32.869998931884766,28.170000076293945,172.52000427246094,33.13999938964844,275.510009765625,200.74000549316406,482.95001220703125,132.5800018310547,67.04000091552734,47.810001373291016,52.220001220703125,16.1299991607666,55.9900016784668,144.05999755859375,47.68000030517578,288.5899963378906,59.86199951171875,51.907501220703125,116.47000122070312,108.2300033569336,440.8299865722656,82.66000366210938,79.68000030517578,43.4900016784668,23.020000457763672,100.62999725341797,134.44000244140625,84.62999725341797,324.489990234375,112.26000213623047,6.78000020980835,108.05999755859375,123.4000015258789,98.12999725341797,82.98999786376953,136.57000732421875,35.04999923706055,65.31600189208984,120.36000061035156,81.86000061035156,185.66000366210938,140.77999877929688,195.97000122070312,59.4900016784668,161.5500030517578,61.2599983215332,93.7699966430664,66.83000183105469
