,Stock,Returns,Volatility,Cluster
0,IFF,0.32425492221961116,0.30453103182056757,0
1,ICE,0.2893990183494315,0.18060332555063952,0
2,IP,0.23065375775746416,0.2586389210758768,0
3,INTU,0.6024106995341743,0.26767937390673535,0
4,ISRG,0.3771348748732463,0.2766249956269867,0
5,IQV,0.4360791905575746,0.2237943853191061,0
6,J,0.3729334359847472,0.26094863183155775,0
7,JBHT,0.4855642091602255,0.26456043715544836,0
8,JCI,0.558504356357892,0.2276806296403928,0
9,JPM,0.578941139912083,0.27102585246630817,0
10,JNPR,0.29620789732916775,0.2521580059001129,0
11,KEYS,0.5401018474065494,0.22967030512842843,0
12,KMI,0.3715768989087505,0.2869111802377704,0
13,KR,0.21980706994689841,0.2862161499864487,0
14,LHX,0.3844951045096208,0.2121345833606024,0
15,LH,0.3464377611054019,0.2231058547277511,0
16,LDOS,0.218766239463442,0.2663798556559624,0
17,LIN,0.3304009960339505,0.21613556756035837,0
18,L,0.5193992322755177,0.2777112347940922,0
19,LOW,0.31110866077143307,0.27788605537897426,0
20,MMC,0.4217229804566327,0.17779868779578714,0
21,MLM,0.44612087978750514,0.29898662473851123,0
22,MCK,0.33641829200145223,0.24310591166318093,0
23,MTD,0.3644762711786315,0.2529065060564166,0
24,MSFT,0.38599927027746833,0.2169964444015149,0
25,MAA,0.5583395691605003,0.19676238376026622,0
26,TAP,0.30278822621730545,0.33151999254221276,0
27,MCO,0.32831883902984466,0.20745898299742022,0
28,MSI,0.4014412412960911,0.20882749965524847,0
29,NDAQ,0.43437383561827947,0.2059582795104328,0
30,IR,0.41788834396272434,0.2946312991163533,0
31,NWL,0.30852708764369347,0.3127465525435187,0
32,INFO,0.4488481447319864,0.23181363043704278,0
33,HII,0.3782972412265992,0.25227086434338597,0
34,DVA,0.28710866877177493,0.2636680490946325,0
35,DE,0.41345889902196203,0.2919450725571915,0
36,XRAY,0.2980798206684285,0.3294472225655556,0
37,DPZ,0.217649970484903,0.25804578266404055,0
38,DOV,0.4227647995739777,0.208642274929801,0
39,DOW,0.25400770608426554,0.3214820344400793,0
40,DRE,0.3864171686318972,0.19740296529908813,0
41,DD,0.25462108778398523,0.28933053686017,0
42,EMN,0.2757516350792301,0.29383506015039623,0
43,ETN,0.43630955433657054,0.22968823622090515,0
44,EW,0.3617135178484596,0.2523113937407644,0
45,EMR,0.36592259236134783,0.2571020974253884,0
46,EQR,0.5665938787195887,0.287569965704548,0
47,ESS,0.5526781026422454,0.27377067275473715,0
48,EL,0.37175654981652967,0.26274487592789136,0
49,RE,0.34138901227252905,0.27552251861580573,0
50,EXPD,0.2874445646000499,0.2022247133844399,0
51,EXR,0.5062866604332694,0.22921316599196126,0
52,FFIV,0.5404283249831447,0.2840966776846833,0
53,FB,0.1964556523580864,0.3154391987424561,0
54,FAST,0.27067041726262275,0.2125469580662519,0
55,FRC,0.5633259458098873,0.2682212285816296,0
56,GRMN,0.5350542596585657,0.20897825700722542,0
57,GD,0.44163141546742385,0.19474242433716024,0
58,GPC,0.3047872450730462,0.2583671179094577,0
59,PEAK,0.2704695241330434,0.23759930906247878,0
60,HSIC,0.26450479274355165,0.2931348447633051,0
61,HD,0.270907639293686,0.19990458080870593,0
62,HON,0.26175133113905097,0.22107926205515044,0
63,IDXX,0.48056701070241237,0.2893545651862814,0
64,DHR,0.3475807690490845,0.23849582789944304,0
65,NKE,0.2706397330495388,0.275580237578777,0
66,NTRS,0.4185866198605169,0.2931704434108369,0
67,TGT,0.4798037612802814,0.22901787940443788,0
68,TEL,0.3672927547950418,0.24274086149168053,0
69,TDY,0.33942095939934347,0.27071727902760817,0
70,TXN,0.3472471635047936,0.2673694573142156,0
71,TMO,0.29840797313539075,0.26522855810344187,0
72,TJX,0.19004289600890856,0.2914896302289674,0
73,TSCO,0.38891834979935475,0.28330550192268794,0
74,TT,0.38189726058179657,0.24620984515860794,0
75,TDG,0.34073542706683935,0.29661984936642094,0
76,TRV,0.28579592327572917,0.22561349703390426,0
77,TYL,0.3104794399553278,0.27084383824522906,0
78,TSN,0.3503480379018405,0.23531746109004154,0
79,UDR,0.5653133135222354,0.27634865350399457,0
80,UNH,0.35211931596882484,0.22214490859406194,0
81,UHS,0.23220514983466384,0.28947611781685134,0
82,VTR,0.35425186317114626,0.3238625205797593,0
83,VMC,0.2886203354518091,0.28827630615081823,0
84,WRB,0.262347065357085,0.24594242347021278,0
85,WBA,0.3248052711643566,0.3363324888301666,0
86,DIS,0.3380563607854485,0.3128580410747822,0
87,WM,0.3769966446968199,0.1670397342254899,0
88,WAT,0.5572375991954475,0.2328771192387695,0
89,WST,0.4213954219848803,0.23587297536634488,0
90,WRK,0.2489869847079847,0.33634020219825966,0
91,WY,0.2499879839913963,0.2771700321342208,0
92,WMB,0.4288521582546478,0.27905980165594835,0
93,WLTW,0.19995402385339045,0.26957561624935167,0
94,XYL,0.37994049502175065,0.2268888292184322,0
95,YUM,0.2657110290480718,0.19044930760326367,0
96,TROW,0.379461140667402,0.253082462237246,0
97,NSC,0.3294081231419907,0.2376948895456683,0
98,SYY,0.2737198145184575,0.3367172314816227,0
99,SYK,0.2516462631783178,0.22933218608048592,0
100,NOC,0.28340637412037273,0.1947882125393058,0
101,NLOK,0.2801147617249315,0.2935100435102818,0
102,ORLY,0.3734607598635852,0.2021580162253473,0
103,ODFL,0.5287293521723899,0.2508118493635615,0
104,OMC,0.37519609115688585,0.3209537011946682,0
105,ORCL,0.5188670934327049,0.2333950832876077,0
