Date,AXP,AMGN,AAPL,BA,CAT,CSCO,CVX,GS,HD,HON,IBM,INTC,JNJ,KO,JPM,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,CRM,VZ,V,WBA,WMT,DIS,DOW
2020-10-21,101.43000030517578,228.97000122070312,116.87000274658203,163.86000061035156,167.39999389648438,39.060001373291016,70.87000274658203,202.91000366210938,284.510009765625,172.8699951171875,115.05999755859375,53.5,143.92999267578125,49.9900016784668,99.37000274658203,228.19000244140625,169.1699981689453,74.49427795410156,214.8000030517578,129.42999267578125,143.25,125.0,322.7900085449219,254.22999572753906,56.75,198.42999267578125,37.38999938964844,144.39999389648438,126.62999725341797,48.54999923706055
2020-10-22,104.79000091552734,227.97999572753906,115.75,169.07000732421875,169.66000366210938,38.81999969482422,73.4000015258789,205.39999389648438,281.1600036621094,176.85000610351562,115.76000213623047,53.900001525878906,145.0800018310547,50.68000030517578,102.87999725341797,229.14999389648438,170.7100067138672,75.58206176757812,214.88999938964844,130.02000427246094,141.4499969482422,126.13999938964844,325.7300109863281,249.6699981689453,57.33000183105469,197.99000549316406,37.5099983215332,143.5500030517578,127.55999755859375,48.81999969482422
2020-10-23,100.9800033569336,227.16000366210938,115.04000091552734,167.36000061035156,168.58999633789062,38.81999969482422,72.56999969482422,205.0399932861328,283.0,175.5399932861328,116.0,48.20000076293945,145.24000549316406,50.52000045776367,103.80999755859375,228.7100067138672,169.8000030517578,76.17366027832031,216.22999572753906,129.99000549316406,142.3800048828125,125.97000122070312,330.6000061035156,250.52000427246094,57.959999084472656,198.00999450683594,38.040000915527344,143.85000610351562,128.35000610351562,48.529998779296875
2020-10-26,96.87999725341797,224.88999938964844,115.05000305175781,160.8300018310547,163.1999969482422,37.66999816894531,70.94000244140625,201.13999938964844,276.0400085449219,170.1699981689453,112.22000122070312,46.720001220703125,143.97000122070312,49.79999923706055,101.23999786376953,224.27000427246094,166.16000366210938,75.22901153564453,210.0800018310547,128.3699951171875,141.3000030517578,121.54000091552734,323.05999755859375,241.97999572753906,57.810001373291016,193.07000732421875,37.209999084472656,142.16000366210938,124.05999755859375,47.150001525878906
2020-10-27,94.93000030517578,223.4600067138672,116.5999984741211,155.24000549316406,157.91000366210938,36.869998931884766,69.51000213623047,195.67999267578125,276.8399963378906,166.75,110.55999755859375,45.63999938964844,143.14999389648438,49.900001525878906,99.33000183105469,222.97000122070312,161.02999877929688,74.41793823242188,213.25,127.98999786376953,142.36000061035156,119.08999633789062,320.510009765625,250.3000030517578,57.380001068115234,190.05999755859375,36.0,142.8699951171875,123.30999755859375,46.56999969482422
2020-10-28,91.5999984741211,216.3800048828125,111.19999694824219,148.13999938964844,151.16000366210938,35.709999084472656,66.87999725341797,189.77000427246094,269.7200012207031,161.16000366210938,106.6500015258789,44.25,138.36000061035156,47.959999084472656,96.54000091552734,214.69000244140625,158.52999877929688,72.69084167480469,202.67999267578125,122.08000183105469,137.66000366210938,121.5,308.0,238.42999267578125,56.310001373291016,180.8699951171875,34.59000015258789,140.0399932861328,118.47000122070312,45.18000030517578
2020-10-29,91.06999969482422,217.82000732421875,115.31999969482422,148.2899932861328,154.6699981689453,35.689998626708984,68.80000305175781,189.94000244140625,269.6300048828125,164.60000610351562,108.91000366210938,44.11000061035156,137.19000244140625,48.02000045776367,97.16999816894531,214.9499969482422,158.47999572753906,72.41412353515625,204.72000122070312,122.86000061035156,137.57000732421875,122.45999908447266,303.67999267578125,237.13999938964844,56.7599983215332,184.8699951171875,33.52000045776367,139.9199981689453,121.54000091552734,46.25
2020-10-30,91.23999786376953,216.94000244140625,108.86000061035156,144.38999938964844,157.0500030517578,35.900001525878906,69.5,189.0399932861328,266.7099914550781,164.9499969482422,111.66000366210938,44.279998779296875,137.11000061035156,48.060001373291016,98.04000091552734,213.0,159.9600067138672,71.76526641845703,202.47000122070312,120.08000183105469,137.10000610351562,120.70999908447266,305.1400146484375,232.27000427246094,56.9900016784668,181.7100067138672,34.040000915527344,138.75,121.25,45.4900016784668
2020-11-02,93.4000015258789,220.2100067138672,108.7699966430664,148.60000610351562,163.27000427246094,35.900001525878906,72.1500015258789,190.1999969482422,270.739990234375,173.61000061035156,112.91000366210938,44.459999084472656,138.69000244140625,48.619998931884766,100.25,212.55999755859375,162.94000244140625,73.19656372070312,202.3300018310547,122.38999938964844,138.5,123.91999816894531,312.1000061035156,232.4499969482422,57.70000076293945,184.74000549316406,35.790000915527344,140.39999389648438,120.12999725341797,47.81999969482422
2020-11-03,96.29000091552734,220.05999755859375,110.44000244140625,153.64999389648438,167.69000244140625,36.68000030517578,71.73999786376953,197.92999267578125,277.3699951171875,179.2100067138672,114.16000366210938,44.849998474121094,138.5,49.349998474121094,103.41000366210938,216.8000030517578,165.50999450683594,73.3969497680664,206.42999267578125,124.58999633789062,141.22000122070312,126.33999633789062,321.3500061035156,237.1300048828125,57.75,188.33999633789062,37.369998931884766,142.77999877929688,124.0199966430664,48.72999954223633
2020-11-04,96.4000015258789,230.3300018310547,114.94999694824219,151.6300048828125,155.22999572753906,36.56999969482422,71.7699966430664,197.8699951171875,282.7200012207031,178.91000366210938,111.9000015258789,45.70000076293945,139.39999389648438,49.16999816894531,100.25,214.8699951171875,160.16000366210938,76.92748260498047,216.38999938964844,127.33999633789062,140.63999938964844,123.4000015258789,354.55999755859375,250.74000549316406,57.220001220703125,193.97000122070312,36.29999923706055,141.9600067138672,125.06999969482422,46.45000076293945
