,Stock,Returns,Volatility,Cluster
0,IFF,0.3217017338556772,0.30332972129239816,0
1,ICE,0.2871202859214832,0.17989088361948607,0
2,IP,0.22883758643653923,0.2576186452208175,0
3,INTU,0.5976673081992595,0.2666234353768406,0
4,ISRG,0.37416530892936245,0.275533768510936,0
5,IQV,0.43264549614373543,0.222911563789813,0
6,J,0.3699969522368358,0.2599192446559501,0
7,JBHT,0.48174086893061746,0.26351680217154566,0
8,JCI,0.5541066842605857,0.22678247769898935,0
9,JPM,0.5743825482592319,0.2699567127861008,0
10,JNPR,0.2938755516809066,0.2511632958850479,0
11,KEYS,0.5358490769545294,0.22876430433793682,0
12,KMI,0.36865109655513834,0.28577937629841943,0
13,KR,0.21807630561660787,0.28508708779447667,0
14,LHX,0.381467584001671,0.21129775728459818,0
15,LH,0.34370990471874524,0.22222574930605274,0
16,LDOS,0.21704367064876925,0.2653290434507869,0
17,LIN,0.3277994133880139,0.21528295844768472,0
18,L,0.5153094745410647,0.2766157226942099,0
19,LOW,0.3086589862771698,0.27678985364885,0
20,MMC,0.41840232706721037,0.17709730956754263,0
21,MLM,0.44260811695453267,0.2978071857239289,0
22,MCK,0.33376932907230694,0.24214691024583682,0
23,MTD,0.36160637927958716,0.25190884336650354,0
24,MSFT,0.38295990594457485,0.2161404393117332,0
25,MAA,0.5539431946001815,0.19598619776127027,0
26,TAP,0.3004040669557519,0.3302122162707481,0
27,MCO,0.3257336513209483,0.20664060117620417,0
28,MSI,0.39828028664021636,0.20800371932518688,0
29,NDAQ,0.4309535691960883,0.20514581764715273,0
30,IR,0.4145978845614431,0.29346904094042703,0
31,NWL,0.3060977404968927,0.31151283352324954,0
32,INFO,0.445313907371892,0.23089917468140975,0
33,HII,0.37531852279174405,0.2512757091256259,0
34,DVA,0.2848479705924696,0.26262793439293636,0
35,DE,0.4102033171398994,0.2907934109770449,0
36,XRAY,0.2957327354663149,0.3281476229333665,0
37,DPZ,0.21593619118974627,0.2570278466145982,0
38,DOV,0.4194359428844189,0.20781922527211596,0
39,DOW,0.25200764540643666,0.32021385579082506,0
40,DRE,0.3833745137607799,0.196624252341371,0
41,DD,0.25261619732899326,0.28818918907051083,0
42,EMN,0.27358036236207084,0.2926759429688279,0
43,ETN,0.43287404603470775,0.2287821646960452,0
44,EW,0.35886537991264494,0.2513160786431015,0
