,Stock,Returns,Volatility,Cluster
0,MNST,0.07811887752242978,0.2105796822955787,0
1,MDLZ,0.07503394273464392,0.15628327434163733,0
2,SBUX,0.2842541019099046,0.22203432569101872,0
3,DLTR,0.1410559738345605,0.3434639145421941,0
4,EA,0.13249561764866885,0.2556750943072321,0
5,SWKS,0.16300656905356548,0.37484811918281713,0
6,EXC,0.21540261523998705,0.19637775940133786,0
7,FAST,0.2648993760117305,0.21171062055516157,0
8,FB,0.20056573140312317,0.3132147018648616,0
9,FISV,0.13059874443536645,0.23544538246972252,0
10,SGEN,-0.06827856365994384,0.3851257299950901,0
11,SIRI,0.0740930631937761,0.2801678047909356,0
12,GILD,0.12831735536228597,0.19228670409265317,0
13,CTSH,0.1054731136977261,0.22459066398703417,0
14,ROST,0.23813462939103036,0.3454372271118806,0
15,HON,0.25263646247419275,0.22114383225804476,0
16,QCOM,0.07964608985129601,0.33658841942066564,0
17,INCY,-0.2505755367406706,0.3024188330134895,0
18,INTC,-0.01834675036257738,0.34326558681153396,0
19,PEP,0.14630769902856453,0.14586486216009784,0
20,ISRG,0.3776663779745138,0.27556330713160504,0
21,PYPL,0.1916296396908941,0.37806299123310466,0
22,PCAR,-0.013122741103301902,0.2496495708314238,0
23,PAYX,0.42150283490863594,0.19332956908501167,0
24,KDP,0.18909466268348793,0.1842624670461006,0
25,ORLY,0.3725625060403994,0.20134000379098824,0
26,KHC,0.17076511047688725,0.22590445469125173,0
27,REGN,0.03278410951661745,0.25668135845736784,0
28,CSX,0.3259789964658818,0.23295028191996997,0
29,COST,0.25830611783094637,0.17697960695616,0
30,ADP,0.4131949207157639,0.20322888813406592,0
31,ADBE,0.2944721155308797,0.26429610952759974,0
32,XEL,-0.06821745462241406,0.1938540994845159,0
33,AMZN,0.07860363796123529,0.2552319879967003,0
34,AMGN,-0.0683880740311064,0.2060906180412332,0
35,AEP,-0.03946024084780817,0.17404988045632638,0
36,ADI,0.39339724263518283,0.27202130510520633,0
37,ANSS,0.16894492431946875,0.3092516105563599,0
38,AAPL,0.2750695340323748,0.26551135574232,0
39,MSFT,0.3862132290912481,0.2160148563433199,0
40,VRTX,-0.10971091597372458,0.247410014425079,0
41,ADSK,0.24169511846395658,0.30817183867768677,0
42,ATVI,0.004650617489271594,0.27516045464228583,0
43,CMCSA,0.22779360364555587,0.2506235452864518,0
44,LULU,0.3077257085038723,0.3163607241530976,0
45,VRSK,0.14900024749425372,0.2279900364854056,0
46,VRSN,0.08360412102365247,0.2082956878264644,0
47,BMRN,-0.008687073583060326,0.28509434493463076,0
48,TMUS,0.06646602042849727,0.2362780542814107,0
49,TXN,0.34352328484156214,0.2663591239666549,0
50,CDW,0.4269256645623949,0.2541196298511955,0
51,CERN,0.003178316302109117,0.16472022656674906,0
52,CHKP,0.023030220442821634,0.23504345215669012,0
53,CHTR,0.21948976395743866,0.25188923257147044,0
54,CPRT,0.3148338988874347,0.2516613401241024,0
55,CTAS,0.26122553589553876,0.24921999440320491,0
56,CSCO,0.3619724881448651,0.19553662172807318,0
57,AVGO,0.3625739752933859,0.2748963866417172,0
58,MU,0.3093960970475333,0.38507988620455613,1
59,NFLX,0.36106455843800095,0.33526901020837735,1
60,NVDA,0.5962318727274788,0.39750746130523373,1
61,AMD,0.48706656385365565,0.38669574141026025,1
62,TSLA,0.9031262389515246,0.531776887524537,1
63,WBA,0.32518684855496194,0.3349563203462296,1
64,WDAY,0.28549433585363526,0.3522870317254032,1
65,NXPI,0.4527411335766568,0.3691404796360933,1
66,SNPS,0.3907894422860273,0.30726042172296786,1
67,INTU,0.607966166042692,0.26716444453754634,1
68,MCHP,0.3757925038584191,0.3698865811311703,1
69,ALGN,0.6811292701433945,0.5109172772219388,1
70,AMAT,0.8712861195255032,0.42570330291529773,1
71,ASML,0.8013780303193203,0.36276843195031067,1
72,TEAM,0.802333162711276,0.42845341653026753,1
73,BKNG,0.40703547713865956,0.37130625929226785,1
74,CDNS,0.45515582018684086,0.32104748295442825,1
75,CRWD,0.8690809341540596,0.5142101904066592,1
76,DXCM,0.4502834104161406,0.38112569682425373,1
77,EBAY,0.47890946618069324,0.3395192701038544,1
78,FOX,0.4489200978775265,0.34797029235018667,1
79,GOOG,0.5822207108291254,0.24556097953364925,1
80,GOOGL,0.5806434843901706,0.25153870291061126,1
81,ILMN,0.3114557452756718,0.34731371703283964,1
82,FOXA,0.5366813088365551,0.3705370526806219,1
83,MRVL,0.5811019768917317,0.41803730208579987,1
84,MTCH,0.45628782832940107,0.4426317997722617,1
85,MAR,0.5441358157407099,0.34738877613569724,1
86,LRCX,0.5050096880608959,0.42191871527891844,1
87,XLNX,0.5173840382479983,0.4015106090292751,1
88,KLAC,0.5874531831832488,0.4024883731607224,1
89,IDXX,0.48061132766671694,0.28829876304770996,1
90,JD,0.11793781876576512,0.47687733550716294,2
91,DOCU,0.35919641920386336,0.512792856078751,2
92,TCOM,0.09842345186383995,0.41583914837741554,2
93,SPLK,-0.1279318399238864,0.44843138111065545,2
94,OKTA,0.2590467012256092,0.4355080803983846,2
95,PDD,0.3652608325304137,0.7510247728439275,2
96,BIIB,0.20871663312476477,0.708611349263477,2
97,BIDU,0.4331644600851107,0.5678683072982281,2
98,MELI,0.25624210759871047,0.47164176193975815,2
99,NTES,0.26905051186216566,0.4961330467694126,2
100,PTON,-0.06509782254498435,0.6522663661087881,2
101,ZM,-0.44833710194247284,0.5641732972530134,2
102,MRNA,1.8747795224212092,0.797253152853988,3
