,Stock,Returns,Volatility,Cluster
0,MRO,0.48619756071335346,0.7716259138006928,0
1,OKE,0.21594794054769872,0.6954435615126059,0
2,AAL,0.08945959923213676,0.79916231908413,0
3,FANG,0.47083808967637175,0.819985953320485,0
4,HAL,0.4154580953204771,0.7265350746403941,0
5,MGM,0.5304821508924604,0.7218635147160058,0
6,LNC,0.3700694673539846,0.7234104421091154,0
7,DVN,0.6214383028681718,0.7715981464319817,0
8,CCL,0.07858716553799117,0.9146589709340108,0
9,OXY,0.32174607753791007,0.8740907263043046,0
10,GPS,0.3979464552142178,0.7364702442404796,0
11,APA,0.602226615995282,0.9610278244896301,0
12,DXC,0.37641428645622405,0.74226753783963,0
13,UAL,-0.020157005341499445,0.7832025633091219,0
14,RCL,0.24187641686741845,0.8541552506382576,0
15,NCLH,0.15838396848888742,0.9939750352778315,0
16,PVH,0.35192451353561616,0.7069488006357847,0
17,EMN,0.2681299033910903,0.40754029064359226,1
18,DPZ,0.34849027586862236,0.3562262210010962,1
19,NSC,0.295767817917815,0.372352666633639,1
20,DOV,0.30901296727781197,0.3539968883667078,1
21,EFX,0.4090459997320002,0.3526810543375727,1
22,EMR,0.2463201089736296,0.4067483956215673,1
23,EW,0.27735878959692595,0.3488380852818809,1
24,ODFL,0.5453121076305325,0.3389699066428801,1
25,NUE,0.45868738923057234,0.4401626049436918,1
26,NXPI,0.44278360275996265,0.4974550251802109,1
27,DRE,0.301102458537718,0.3527933062934505,1
28,ORLY,0.2606510509883878,0.3262773946034653,1
29,EBAY,0.4675523960499948,0.3450669832311907,1
30,ETN,0.40679727530370785,0.3936910228593294,1
31,ORCL,0.3506985380504536,0.3287821049805187,1
32,ZTS,0.31851948183358897,0.30944681913945127,1
33,OTIS,0.4242610776553391,0.32385656730813833,1
34,RHI,0.4080833977333897,0.39946937159293133,1
35,RMD,0.4476799802262706,0.3933424699666723,1
36,REGN,0.3805534849943191,0.3535134783318962,1
37,RJF,0.39608544208806257,0.43862694691982845,1
38,QCOM,0.35191504923251415,0.43021844802031506,1
39,PTC,0.3933977613957088,0.4101003177259307,1
40,PLD,0.28819144556486875,0.35247401457507155,1
41,CPRT,0.36071605813648105,0.3523304830228984,1
42,CTVA,0.32564814479727855,0.409374694620675,1
43,POOL,0.5320710601056867,0.37920803846075224,1
44,PNC,0.2971256687362086,0.44348782056757513,1
45,CSX,0.2662614578451812,0.3594828915915093,1
46,DHI,0.35977797524009886,0.4749801456379535,1
47,DHR,0.4479427898564656,0.2848233327849619,1
48,DVA,0.4003132668539235,0.3493166055759983,1
49,DE,0.4298258601217971,0.3768114352198716,1
50,PKI,0.4216713723863777,0.3249871081632361,1
51,PNR,0.3778986531824232,0.37562958139001534,1
52,PAYX,0.25519883163880963,0.3619792291808514,1
53,EL,0.340526729450211,0.33907006735176376,1
54,PH,0.35069004249544594,0.45878247551044693,1
55,OGN,0.330984407772787,0.45058459991724525,1
56,NKE,0.35297102926859864,0.3477256685952881,1
57,EXPD,0.2869122945974898,0.26608254821709915,1
58,NWSA,0.35857600828307495,0.3946127503020463,1
59,HCA,0.44292137251401886,0.47088395282241036,1
60,LLY,0.47688844723921436,0.36556572926700076,1
61,LH,0.34679687830178896,0.390181935466331,1
62,HLT,0.27330538747601746,0.4079762254986822,1
63,HOLX,0.2885559240344608,0.3784959375484326,1
64,HD,0.28990439360107056,0.33787628380011414,1
65,KR,0.2878737458150722,0.3088926675187244,1
66,HPQ,0.3894105657093063,0.4383127114064898,1
67,HUM,0.3152750348290668,0.39288758514391975,1
68,KEYS,0.3450757360647994,0.35131157069125024,1
69,IDXX,0.5047314572253131,0.34581475080863666,1
70,INFO,0.3469686104662398,0.35393144207495036,1
71,KSU,0.4497330151572454,0.4093225583584203,1
72,JPM,0.2401721127419046,0.4113710065133632,1
73,IR,0.3474471409742836,0.40809519410001865,1
74,JCI,0.33534842647647906,0.3346393293608495,1
75,JBHT,0.3264952559862137,0.34026154434218814,1
76,IPG,0.36381189371982064,0.45072210050475003,1
77,J,0.25784200381076283,0.3457473744870002,1
78,INTU,0.49311711767955574,0.3777758948292818,1
79,ISRG,0.38875835534388836,0.3689474515651389,1
80,LIN,0.29482742802236345,0.30641906588266954,1
81,NWS,0.3507226912260429,0.39993667245791914,1
82,GS,0.420131629754706,0.40690248657939593,1
83,MMC,0.31097781594014756,0.28153745588670065,1
84,NEM,0.269114208966664,0.37255349471831584,1
85,ROK,0.3731546761611236,0.38377710288501854,1
86,EXR,0.29647063442274096,0.3227811520097249,1
87,NFLX,0.5321055902403634,0.397022140239134,1
88,NTAP,0.3517617237686607,0.42472219660982247,1
89,FB,0.3509973912756935,0.377619270587902,1
90,NDAQ,0.3977687069789283,0.3273668301481326,1
91,MSI,0.2638371899611131,0.33792731568022466,1
92,FDX,0.30064042392816637,0.4244033204492458,1
93,MS,0.4976473926006418,0.44141569559241184,1
94,MCO,0.36274041201631846,0.3781066021323137,1
95,FRC,0.4267909464690309,0.37856820352216863,1
96,MAA,0.2577110667620188,0.34970180924904065,1
97,F,0.4217316306561827,0.4793735463107389,1
98,MSFT,0.45313099781570004,0.33827977402940923,1
99,FBHS,0.33235449263218253,0.44204434486594435,1
100,MTD,0.4348969478395133,0.33062967784091746,1
101,MCK,0.24485816077896116,0.36388327789928004,1
102,GRMN,0.36730118339354273,0.302957792494491,1
103,IT,0.48332967911176994,0.4018090035605427,1
104,MLM,0.2917377905084844,0.4333017974069831,1
105,LOW,0.45032849737252145,0.39611473941153563,1
106,CTAS,0.30713909293095026,0.3991150761009291,1
107,IQV,0.35814559626157794,0.3809144300816574,1
108,ADSK,0.468905270096408,0.41179249550718516,1
109,BAC,0.30830308704584863,0.4490484437706151,1
110,TT,0.3938937500224896,0.354866163789089,1
111,TSCO,0.43964655293874316,0.3298267742440878,1
112,BBY,0.34725893066038216,0.4274534763349386,1
113,BIO,0.4636451537005794,0.3408348793234533,1
114,TECH,0.526769869470357,0.3531021780452449,1
115,TMO,0.41220877973927783,0.30875686978842726,1
116,BLK,0.42685605943424515,0.37078094993532285,1
117,TXN,0.326868205750105,0.35555587716519793,1
118,TER,0.4223768880599355,0.4687054782172243,1
119,TEL,0.29810783758823267,0.3745094619353544,1
120,TGT,0.4817934133320012,0.32260229223692755,1
121,TTWO,0.2550625694967698,0.35735317642475495,1
122,AVGO,0.3946940400703262,0.4093665116093226,1
123,TROW,0.37175279397998373,0.3733796864365932,1
124,GOOGL,0.44090581299757436,0.31619306704910555,1
125,GOOG,0.443288371619666,0.3133701201179378,1
126,TRMB,0.49528041754471475,0.4271130127172976,1
127,AVY,0.3421497165930581,0.3775073756518806,1
128,AME,0.25498285020949873,0.3503387009617696,1
129,APH,0.2742816679155751,0.32016821383248134,1
130,ADI,0.3511695677333432,0.4009622868338899,1
131,ANSS,0.33939678095474823,0.3866453184974657,1
132,ANTM,0.3484743027130103,0.4251578408275878,1
133,AON,0.3081632058887041,0.3197168444564067,1
134,UPS,0.34506930052221724,0.3362654843999478,1
135,BRO,0.34311329708761934,0.3003265690657722,1
136,AAPL,0.5158564453588725,0.3702364115135614,1
137,ADM,0.299030992242799,0.3171475221642812,1
138,ANET,0.3336891429628075,0.4227424094655108,1
139,AJG,0.34568113763297187,0.31229622003971247,1
140,WAB,0.23696116243598325,0.43298039989620907,1
141,AMZN,0.36325011133203167,0.3158577230414108,1
142,AZO,0.2989233928494827,0.3302445595159015,1
143,TYL,0.40247513950023023,0.3084065495513813,1
144,UNH,0.37041349152466774,0.36541030293824067,1
145,WST,0.600855406420207,0.31584065732072425,1
146,WAT,0.319595515791795,0.32336414569187416,1
147,XYL,0.29399154842370717,0.3621309384716197,1
148,SEE,0.26957736792744585,0.4218786728870299,1
149,ADBE,0.5085552123490364,0.3776587284465188,1
150,ZBRA,0.5406758954223837,0.39787662435361004,1
151,CDNS,0.5500083187424477,0.3889851304904831,1
152,CRM,0.4256872762828785,0.4104811841619294,1
153,CNC,0.2761151662363716,0.4398179291520589,1
154,ACN,0.3790877797981858,0.318419580285749,1
155,AES,0.30591683385989377,0.4580892363322393,1
156,SCHW,0.4454432993918041,0.4333759630075058,1
157,ABMD,0.43397410580106033,0.43098049989748644,1
158,CE,0.2513735670887067,0.41596756185251077,1
159,CDW,0.2921251696426797,0.38765400128101896,1
160,STX,0.31130109798465605,0.4015940141136749,1
161,XLNX,0.41185779292221514,0.4357769081999376,1
162,A,0.4164615890838726,0.29076659009484945,1
163,CBRE,0.45795276908937,0.4756593270525263,1
164,CAT,0.273139521232708,0.3625525517629603,1
165,SNPS,0.49605412774064817,0.36323637551913135,1
166,STE,0.3174928696410392,0.3074520143238572,1
167,SHW,0.2936965115939693,0.3274753132342424,1
168,SPGI,0.358129839721365,0.3576590058914291,1
169,ABT,0.26909716586394733,0.3116484273890206,1
170,CMG,0.4775598454882965,0.3978374911749081,1
171,SWKS,0.4165754976576823,0.46951981136808224,1
172,CHTR,0.3016090794392802,0.29592654453599543,1
173,VTRS,-0.057303033262983805,0.4040423565748698,2
174,MKTX,0.15930355365991894,0.3969336415494755,2
175,MAS,0.22147755653250917,0.3307272594707543,2
176,JKHY,0.16153301494460953,0.3136493645320369,2
177,ZBH,0.13140384321766557,0.3852025662623254,2
178,MA,0.22309746057246999,0.3844936102397068,2
179,SJM,0.10205284874797632,0.27330092589962834,2
180,VMC,0.2218660239023858,0.41616401285909754,2
181,MKC,0.04567429723682703,0.2917717244266236,2
182,V,0.1985222195655172,0.333612092743352,2
183,WRB,0.1440989982281073,0.3713596341410578,2
184,KHC,0.18712180287728458,0.3591148623323374,2
185,L,0.15944884037180984,0.4397703823582755,2
186,LHX,0.14260994590755682,0.3238495982252547,2
187,KMI,0.026254179905205288,0.4320074479482005,2
188,WU,-0.05594762605823134,0.34774826441259193,2
189,WLTW,0.1932821357623753,0.33672553334526534,2
190,KMB,0.009005518097617848,0.24893407410821577,2
191,WEC,0.03639603382597573,0.32958058150749436,2
192,XEL,0.04906255442215551,0.3064052722688162,2
193,MCD,0.14247641326739047,0.30289617576232336,2
194,WM,0.2124346025951388,0.26822101055929753,2
195,K,0.033932167226701726,0.25735664531483243,2
196,DIS,0.21321574934639015,0.3870900078559715,2
197,LW,-0.013976070180792166,0.4580731512632219,2
198,LVS,-0.11747865028642768,0.48553801786019873,2
199,LDOS,0.18703489998415146,0.35876291707215474,2
200,WBA,0.029465627515162685,0.39627757108664524,2
201,JNPR,0.11266708019632038,0.3101103330742505,2
202,YUM,0.12717694249339973,0.3384544146162949,2
203,WMT,0.1455602498431693,0.2485197506332582,2
204,LMT,0.05214094334900282,0.31344734339353486,2
205,JNJ,0.15413698560808337,0.23691455948984955,2
206,VFC,-0.019167650676690906,0.45925352775388034,2
207,ROP,0.2449765806227347,0.3163631070781819,2
208,VZ,-0.0499282132899882,0.1991435599906425,2
209,PKG,0.17291119781604408,0.3530855970767358,2
210,SYK,0.2000441169639478,0.37395604192490406,2
211,SBUX,0.22191947545700347,0.3510095630914181,2
212,PEP,0.11124707606589712,0.27704495684157016,2
213,SO,0.06679179183207173,0.3459819198484113,2
214,SNA,0.19490900531730482,0.38600301354701655,2
215,PFE,0.15146922576462818,0.28649834940744834,2
216,PM,0.13416467452715447,0.305128383200871,2
217,PNW,-0.11065679572873544,0.3497359482093347,2
218,IRM,0.21749064701823934,0.37726333526605077,2
219,PCAR,0.11910530162942656,0.3060202823659589,2
220,PPL,-0.0023378004831173804,0.35632583065964946,2
221,PG,0.09148302785485146,0.251289932529552,2
222,PGR,0.20807088462385986,0.30021003217486664,2
223,PEG,0.05447700326766014,0.3132203850299145,2
224,PSA,0.1948532462232298,0.2880172752276431,2
225,SBAC,0.23104761060885853,0.3370211164414678,2
226,DGX,0.23631458677839773,0.31873957451870094,2
227,RTX,0.09912324329082245,0.4336500816006202,2
228,O,0.05100961201237486,0.430377314683522,2
229,RSG,0.24266476775296286,0.268796587647847,2
230,ROST,0.11360662984087061,0.45094058797004394,2
231,SRE,0.0020444361796944643,0.35911282200928707,2
232,VRTX,0.04475298037932984,0.36691824341780754,2
233,TMUS,0.23332039748926237,0.3304419413246809,2
234,TDY,0.22651568041210773,0.3971276083425738,2
235,VRSK,0.22440770581153446,0.3120653409714285,2
236,MDT,0.13035559462431395,0.31920594589353296,2
237,MRK,0.052327611417146314,0.2625802701036272,2
238,VRSN,0.13226030440525138,0.31280322810178196,2
239,TAP,-0.07142238647990834,0.38686973807185293,2
240,MDLZ,0.10045135224955443,0.26162760938207263,2
241,MNST,0.2430719572654732,0.2891079606773907,2
242,UNP,0.22879748871411376,0.3326648672593668,2
243,USB,0.15226654760486114,0.4484174438117696,2
244,UDR,0.12480109150832357,0.384731701180842,2
245,OMC,0.03339080210284717,0.38668537504510075,2
246,ROL,0.26034212300475695,0.3121003766611848,2
247,NEE,0.23079747368251535,0.33201125088610767,2
248,NLSN,0.059904441400753405,0.45665916723428884,2
249,NI,-0.002240278496770498,0.3428837261406494,2
250,TRV,0.17414789589759166,0.36955069526963796,2
251,NTRS,0.18764384300068376,0.4115234466348868,2
252,NOC,0.11119194312913366,0.30969370082991593,2
